,continent,totFunding,bioFunding,pct_bioFunding
0,Africa,374840000,10000,0.002667805
1,Asia,6507490000,1565110000,24.05090135
2,Australia,266230000,71320000,26.78886677
3,Europe,4616130000,1749560000,37.90101232
4,North America,25849850000,13771520000,53.27504802
5,South America,908120000,537660000,59.20583183
